sample_id,source_corpus,model_name,prompt_version,reference,prediction,wer,cer,lexical_similarity,label,repetition_flag,duration,has_unintelligible_tag,inference_time_sec,semantic_similarity,label_semantic
S4258655500367027_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,பறக்கும் வளையங்கள் என்பது நிலையான வளையங்களைப் போன்ற ஒரு நிகழ்வாகும் ஆனால் நடனக் கலைஞர் ஸ்விங்கிங் செய்யும் போது தொடர்ச்சியான சண்டைகளை நிகழ்த்துகிறார்,பரக்கும் வழைங்கள் என்பது நிலையான வழைங்களை போன்ற ஒரு நிகழ்வாகும் ஆனால் நடன்னைக்கலைங்கள் சுிங்கிங் செய்யும் போது தொலர்ச்சியான சண்டைகளை நிகழ்த்திகிறாரு,0.4705882352941176,0.1409395973154362,0.8956,FAITHFUL,False,12.548,False,16.572,0.8427577,FAITHFUL
S4259662200331958_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,என்னுடைய அமேஸான் பே வாலெட்டில் ஒரு வங்கிக் கணக்கை சேர்க்க முடியவில்லை,என்னுடைய அமேசான் பே வாலடில் ஒரு வங்கி கணக்கை சேர்க்க முடியவில்லை,0.3333333333333333,0.0869565217391304,0.9474,FAITHFUL,False,11.175,False,0.915,0.9744562,FAITHFUL
S4258634600367591_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,ஹெச்டிபி ஃபினான்ஸ் சர்வீசஸ் மூலம் பங்குகளில் முதலீடு செய்வதற்கு ப்ரோக்கரேஜ் எவ்வளவு,HDB Finance Service முலம் பங்குகளில் முதலிடு செய்வதறக்கு Brokerage எவ்வளவு,0.7777777777777778,0.4698795180722891,0.5732,PARAPHRASE_OR_RECOGNITION_ERROR,False,9.823,False,1.213,0.7839969,PARAPHRASE_OR_RECOGNITION_ERROR
S4258827600383643_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,வண்டியில் போறதனால இன்னும் சுற்றுசூழல் இது சேதப்படுது இருந்தாலும் எங்களுக்கு கொஞ்சம் தேவைப்படுதுனால நாங்கள் வண்டியியில் போகணுமா இருக்குது அந்த உடைய மாசு இதெல்லாம் இருக்கு இதாக தான் வருது இது கீழே அந்த பெட்ரோல் ஊற்றி இருந்தால் கூட <unintelligible> செடி கொடி கூடக்கு முளைக்காது ஏன்னா என்ன எங்களுக்கு அது தேவைப்பட்றதுனால நாங்கள் வண்டியில் போகிறோம் சூழ்நெலை எங்களுக்கு இருக்கு,வந்டையிலை போகிற்குத்து நான் இது பட்டுது இதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுது,0.9777777777777776,0.8113207547169812,0.0506,HALLUCINATION_CANDIDATE_LEXICAL,False,18.946,True,2.479,0.15760309,HALLUCINATION_CANDIDATE
S4258827600383643_1,indicvoices,Whisper-large-v3-turbo,dedicated_asr,அந்த மாதிரி சூழ்நெலை எங்களுக்கு <unintelligible> ஏன்னா பஸ்ஸில் போகிறதுனால வண்டியில் போனால் சீக்கரம் எங்களுக்கு வேலை முடியும் பஸ்ஸில் பார்த்துட்ருக்க வேண்டிய எங்கள்ட்ட இது இல்லை,அந்தான் மர் சூலில்லும் குதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுதுது,1.0,1.3352272727272727,0.0736,HALLUCINATION_CANDIDATE_LEXICAL,False,7.899,True,2.185,0.16118988,HALLUCINATION_CANDIDATE
S4258827600383643_2,indicvoices,Whisper-large-v3-turbo,dedicated_asr,ஏன்னா வண்டியில் இப்போது பத்து நிமிஷத்தில் போறோம் அரமணி நேரத்தில் போகிற கால்மண் நேரத்தில் போயிடல்லாம் எங்கள் அவசர தேவைக்கு வண்டி உபயோப்படுத்துகிறோம் ஏன்னா அதனால் சுற்றுசூழல் இதாக ஆகுதுதான் ஏன்னா எங்கள் அவசரத்துக்கு நாங்கள் போக வேண்டியதாக இருக்குதுங்க அதனால் தான் போகிறோங்க,என்ன வந்தில் பத்தினிமிசல் போருக்கு அரமண்ணேத்தில் போருக்காமண்ணேத்தில் போயில்லாம் அவசரத்தேவைக்கு வந்தி வியோப்பட்துராம் என்ன அதனால் சுட்டு சுட்டு இதாகுத்தான் என்ன அவசரத்தேவைக்கு நாக்கு போவும் வேண்டிதான் இருக்குத்துங்காம் அதனால்தான் போருங்காம்,0.96875,0.4022140221402214,0.0588,HALLUCINATION_CANDIDATE_LEXICAL,False,13.491,False,2.32,0.33741444,HALLUCINATION_CANDIDATE
S4259810900307834_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,போன மாதம் நான் பேடிஎம் மூலம் பணம் செலுத்திய உணவகங்களின் பட்டியலைக் காட்டவும்,போனமாதம் நான் பேட்டியம் மூழம் அனம் செலித்தியே உனவகங்களின் பட்டியலை காட்டவும்,0.8,0.1578947368421052,0.8816,PARAPHRASE_OR_RECOGNITION_ERROR,False,7.701,False,1.281,0.62015784,PARAPHRASE_OR_RECOGNITION_ERROR
S4259423300343913_0,indicvoices,Whisper-large-v3-turbo,dedicated_asr,நிலம் பயிர் நாத் நாற்று விடறதுக்கு முன்னாடி எருக்களஞ்செடி வேப்பஞ்செடி கொழிஞ்சி இதையெல்லாம் போட்டு முதுச்சி வெச் மிதித்து அதுக்கப்புறம் அது வந்து ஊ காட்டுக்குள்ளே ஓட்டி தான் நாங்கள் வந்து நெலை நாற்று எடுத்து நட்டு இயற்கை உரமா கொடுத்துட்ருக்கறோம்,நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான் நான்,2.1333333333333333,0.9877049180327868,0.0036,HALLUCINATION_CANDIDATE_LEXICAL,True,14.429,False,2.288,0.21130076,HALLUCINATION_CANDIDATE
S4259423300343913_1,indicvoices,Whisper-large-v3-turbo,dedicated_asr,அதேமாதிரி வீட்டில் இருக்கிற கழிவுப் பொருள்கள் மக்கும் மக்காத குப்பைகள் இதையெல்லாம் போட்டு தான் உரமா போட்டுட்டிருக்கறோம்,அதை மரி வீட்டில் இருக்கிறேன் கலிவுப்புருள்கள் மக்காத குப்பைகள் இதையில்லாம் போட்டுதான் ஒரம்மாம் போட்டுவிட்டுக்குறான்.,0.8461538461538461,0.2857142857142857,0.8255,PARAPHRASE_OR_RECOGNITION_ERROR,False,6.975,False,1.112,0.58131236,PARAPHRASE_OR_RECOGNITION_ERROR
S4259423300343913_2,indicvoices,Whisper-large-v3-turbo,dedicated_asr,தாவரத்திலிருந்து வர சில த எரு இப்போ தென்னை மரத்துலேருந்து வர பட்டையைவே போட்டு காய்ஞ்சதுக்கப்புறம் அதைவே எருவாக பண்ணி அந் பனை ஓலை அந்த மாதிரி இருக்கிறதையும் எருவாக பண்ணி தான் போட்டுட்டிருக்கறோம்,தாவரத்தில் இருந்து வரத்தில் தெணமரத்தில் இருந்து வர பட்டைவே போட்டு கான்சத்து கப்பிறான் அதிவே இருவா பண்ணி அன்ப்பனம் அந்தமார் இருக்கிறதியுக் கேட்டும் போட்டுட்டுக்குறோம்.,0.92,0.3730569948186528,0.7242,PARAPHRASE_OR_RECOGNITION_ERROR,False,11.009,False,1.792,0.5947422,PARAPHRASE_OR_RECOGNITION_ERROR
